37.svg,Baby,Alien
18.svg,Bald,Cat
74.svg,Bald,Normie
33.svg,Based,Agent
76.svg,Big,Alien
84.svg,Big,Human
32.svg,Black,Cat
49.svg,Bored,Normie
12.svg,Broke,Alien
60.svg,Broke,Human
96.svg,Broke,Normie
94.svg,Cheap,Normie
38.svg,Copy,Normie
59.svg,Copy,Cat
97.svg,Copy,Agent
14.svg,Crack,Agent
87.svg,Daft,Alien
11.svg,Damn,Human
66.svg,Dank,Normie
24.svg,Dead,Alien
45.svg,Dead,Normie
06.svg,Deaf,Agent
19.svg,Drunk,Normie
58.svg,Drunk,Agent
22.svg,Dumb,Agent
75.svg,Epic,Human
83.svg,Epic,Agent
36.svg,Evil,Human
30.svg,Fat,Cat
09.svg,Faux,Agent
78.svg,Floor,Agent
47.svg,Found,Normie
23.svg,Free,Agent
34.svg,Free,Alien
91.svg,Glitch,Cat
93.svg,Good,Alien
70.svg,Hairy,Normie
69.svg,Happy,Normie
05.svg,Hot,Normie
52.svg,Hot,Alien
62.svg,House,Alien
02.svg,Iron,Agent
90.svg,Kind,Human
39.svg,King,Cat
82.svg,Known,Normie
88.svg,Last,Normie
68.svg,Lazy,Cat
92.svg,Lazy,Normie
28.svg,Legal,Alien
73.svg,Limp,Alien
54.svg,Lone,Human
10.svg,Lost,Agent
41.svg,Loud,Normie
79.svg,Lucky,Human
99.svg,Lucky,Normie
01.svg,Mad,Normie
44.svg,Mad,Cat
53.svg,Mean,Cat
55.svg,Mid,Normie
89.svg,Music,Agent
48.svg,Nasty,Cat
15.svg,Old,Normie
31.svg,Old,Human
26.svg,Only,Normie
80.svg,Only,Agent
65.svg,Pink,Agent
29.svg,Poor,Normie
25.svg,Pretty,Alien
21.svg,Punk,Alien
07.svg,Rare,Normie
43.svg,Raw,Human
56.svg,Raw,Normie
77.svg,Rebel,Normie
04.svg,Rotten,Agent
40.svg,Rotten,Normie
51.svg,Bored,Alien
13.svg,Sad,Normie
67.svg,Safu,Normie
98.svg,Safu,Agent
64.svg,Saved,Normie
35.svg,Secret,Agent
27.svg,Sexy,Human
46.svg,Sick,Human
03.svg,Sir,Alien
17.svg,Slow,Human
63.svg,Sober,Agent
86.svg,Soft,Agent
61.svg,Sore,Agent
85.svg,Step,Alien
00.svg,Super,Normie
50.svg,Super,Human
95.svg,Super,Agent
81.svg,Thick,Alien
42.svg,Ugly,Agent
72.svg,Ugly,Normie
71.svg,Wet,Alien
16.svg,Wicked,Alien
57.svg,Woke,Normie
20.svg,Wrong,Human
08.svg,Young,Cat
